metal,conc,Mean_r,SE_r,Mean_OD,SE_OD,Mean_changeOD,trial
CoNi,2,0.07513012644233541,0.006798416097932276,0.04666666666666666,0.007854581111965466,0.08266666666666665,two
CoNi,3,0.05499240742038816,0.0012369477417337618,0.038000000000000006,0.002562189457244498,0.083,two
CoNi,4,0.03293637773627012,0.0017387638318360336,0.02005555555555555,9.493337494797241e-4,0.049999999999999996,two
CoNi,5,0.022796766407928715,0.003649821786600208,0.0105,0.002545875386086576,0.04699999999999999,two
CoZn,1,0.06271004722909386,0.008562597453833545,0.06944444444444443,0.010451091265603575,0.08333333333333333,two
CoZn,2,0.05688515305468655,0.005758781139437735,0.07155555555555555,0.00849636814203211,0.08066666666666666,two
CoZn,3,0.03205960291685628,0.004030835699611913,0.04927777777777778,0.004374096026538819,0.06366666666666666,two
CoZn,4,0.0280644497937151,1.5252078782550948e-4,0.050722222222222224,0.002265549833789297,0.05499999999999999,two
CoZn,5,0.01945365939818681,3.304672430473182e-4,0.03783333333333334,0.0042763345328723995,0.045999999999999985,two
Cu,1,0.2200707765215304,0.030841212192433975,1.2561666666666667,0.05649999999999988,1.2690000000000001,two
Cu,2,0.19420624101373904,0.00880460610253042,0.97091666666666665,0.0037500000000000307,0.9795,two
Cu,3,0.11527748952633309,3.150708860477635e-4,0.7716666666666666,0.0050000000000000044,0.7755,two
Cu,4,0.14921434406123257,0.014743074641665464,0.8036666666666668,0.007499999999999896,0.8275000000000001,two
Cu,5,0.009888556506965074,8.904369463991202e-5,0.013499999999999984,1.6666666666667604e-4,0.045499999999999985,two
CuMn,1,0.23836667724282573,0.01353441188233458,1.4392777777777777,0.03959942168177286,1.452,two
CuMn,2,0.2212470617879436,0.00514356260374591,1.2535,0.03345076536798077,1.26,two
CuMn,3,0.19985578601870257,0.0036701983443597442,1.1051111111111112,0.0360981600707547,1.1113333333333335,two
CuMn,4,0.14921622478921334,0.0063328340670412014,0.7653888888888889,0.021427166326654656,0.7736666666666667,two
CuMn,5,0.05881179325576783,0.010286050404315883,0.17105555555555557,0.032663595849617685,0.1996666666666667,two
