"","trial","combo","conc","met1_r","combo_r","met2_r","delta_r"
"23","one","CdMn","3",0.220042055931735,0.0895089095176438,0.131579599657594,0.490879426253631
"24","one","CdMn","4",0.0833628120977536,0.0583742312265656,0.0886745117889554,0.321377130174304
"25","one","CdMn","5",0.0745386916800594,0.0383180462841063,0.0534167974963751,0.401072255192264
"26","two","CdMn","1",0.277926834549302,0.205046722475307,0.270009283653838,0.251567050744086
"27","two","CdMn","2",0.267527232217235,0.130772193255672,0.19460676478622,0.434050755392947
"28","two","CdMn","3",0.226368682404443,0.0898450171519608,0.13010547147696,0.495924087770741
"29","two","CdMn","4",0.111098461519354,0.0610074107121328,0.0865438507580141,0.38264828002502
"30","two","CdMn","5",0.0831455030381179,0.0304200683975964,0.0516089932900421,0.548511267134032
"31","one","CdNi","1",0.270167168364699,0.186819140701733,0.336363001141038,0.383974120021195
"32","one","CdNi","2",0.23988423061283,0.112999926084785,0.28955714473089,0.57313526540526
"33","one","CdNi","3",0.220042055931735,0.0671657275908011,0.167071289214338,0.652991928937728
"34","one","CdNi","4",0.0833628120977536,0.0407893825382644,0.0781308208908094,0.494848412492484
"35","one","CdNi","5",0.0745386916800594,0.0271227874012088,0.0484294906233362,0.558864953630206
"36","two","CdNi","1",0.277926834549302,0.17206116616116,0.328164684013088,0.432227111280891
"37","two","CdNi","2",0.267527232217235,0.134191783722019,0.296481210032562,0.524149733692866
"38","two","CdNi","3",0.226368682404443,0.0649593952961602,0.118609038035622,0.623399475112214
"39","two","CdNi","4",0.111098461519354,0.0385001040899742,0.0901283995491386,0.617346273896608
"40","two","CdNi","5",0.0831455030381179,0.0224951307026266,0.0383029330142115,0.62955256677107
"41","one","CdZn","1",0.270167168364699,0.150567892918489,0.246538752035619,0.417200821690464
"42","one","CdZn","2",0.23988423061283,0.0890177458893563,0.218026818221695,0.611200707578801
"43","one","CdZn","3",0.220042055931735,0.0458368447383191,0.165693979309323,0.762340872769772
"44","one","CdZn","4",0.0833628120977536,0.0398093207842898,0.100492484766956,0.566949427477377
"45","one","CdZn","5",0.0745386916800594,0.0236592230029586,0.03945444183584,0.584900909848948
"46","two","CdZn","1",0.277926834549302,0.142074234976697,0.239054902859137,0.450370391461424
"47","two","CdZn","2",0.267527232217235,0.0992881232416328,0.208513513752506,0.582858719207436
"48","two","CdZn","3",0.226368682404443,0.0499006319228575,0.157958043470185,0.740321822224065
"49","two","CdZn","4",0.111098461519354,0.0189717353826779,0.103813710822243,0.823446618439807
"50","two","CdZn","5",0.0831455030381179,0.0198741934576141,0.0546081163732559,0.711453048674332
"51","one","CoCu","1",0.282338118312575,0.0248966463482307,0.248899639301858,0.906269289065479
"52","one","CoCu","2",0.248491178531096,0.0196518260812499,0.198694246661413,0.91210882567208
"53","one","CoCu","3",0.118221048073242,0.00915813530196393,0.165974362664745,0.935550434975832
"54","one","CoCu","4",0.0979084490509985,0.0128114737448411,0.185354965503981,0.90954374559829
"55","one","CoCu","5",0.0241230208364307,0.0162398978339103,0.0235667725445587,0.318936121019807
"56","two","CoCu","1",0.267391868566391,0.0180145954005913,0.22007077652153,0.926088304069568
"57","two","CoCu","2",0.204425254810014,0.010989342576669,0.194206241013739,0.944864654741041
"58","two","CoCu","3",0.131858745011648,0.00398778094989893,0.115277489526333,0.967728075509817
